team,player,total_runs,total_wickets,format
Punjab Kings,Priyansh Arya,6,0,IPL
Punjab Kings,P Simran Singh,28,0,IPL
Punjab Kings,JP Inglis,32,0,IPL
Punjab Kings,SS Iyer,53,0,IPL
Punjab Kings,N Wadhera,16,0,IPL
Punjab Kings,Shashank Singh,11,0,IPL
Punjab Kings,MP Stoinis,44,0,IPL
Punjab Kings,Azmatullah Omarzai,1,0,IPL
Punjab Kings,M Jansen,0,0,IPL
Punjab Kings,Harpreet Brar,7,0,IPL
Delhi Capitals,KL Rahul,35,0,IPL
Delhi Capitals,F du Plessis,23,0,IPL
Delhi Capitals,KK Nair,44,0,IPL
Delhi Capitals,Sediqullah Atal,22,0,IPL
Delhi Capitals,Sameer Rizvi,58,0,IPL
Delhi Capitals,T Stubbs,18,0,IPL
Punjab Kings,Mukesh Kumar,0,28,IPL
Punjab Kings,Mustafizur Rahman,0,24,IPL
Punjab Kings,MM Sharma,0,26,IPL
Punjab Kings,V Nigam,0,25,IPL
Punjab Kings,Kuldeep Yadav,0,25,IPL
Delhi Capitals,Arshdeep Singh,0,24,IPL
Delhi Capitals,Azmatullah Omarzai,0,24,IPL
Delhi Capitals,Harpreet Brar,0,25,IPL
Delhi Capitals,M Jansen,0,26,IPL
Delhi Capitals,P Dubey,0,12,IPL
Delhi Capitals,MP Stoinis,0,10,IPL
